respondent,id,narr-archetype,narr-optimism,narr-age,narr-family type,narr-duration,narr-spending,narr-env,narr-income,narr-mortgage percent,narr-credit,prm-house sqft,prm-lot sqft,prm-house age,prm-step,prm-suite,prm-reno_plan,prm-wall_type,prm-wall_age,prm-window_type,prm-window_age,prm-roof_type,prm-roof_age,prm-heat_eff,prm-heat_fuel,prm-heat_age,prm-dhw_eff,prm-dhw_fuel,prm-dhw_age,prm-cool_fuel,prm-leakage,prm-maintenance,prm-asbestos,resp-likert_step2,resp-likert_step3,resp-likert_step4,resp-likert_step5,resp-likert_higheff,resp-retrofit_teardown_neither,resp-likert_carbon2050,resp-policy1,resp-policy2,resp-policy3,resp-confidence,expqual-field,expqual-field_years,expqual-step_familiar,expqual-market_familiar,sort,resp-binary_step2,resp-binary_step3,resp-binary_step4,resp-binary_step5,resp-binary_higheff,resp-binary_carbon2050,resp-policy1_updated,resp-policy2_updated,resp-policy3_updated,resp-policy_option1,resp-policy_option2,resp-policy_option3,resp-policy_option4,resp-policy_option5,resp-policy_option6,resp-policy_option7,resp-policy_option8,resp-policy_option9,resp-policy_option10,resp-influential_param,resp-additional_info
29,mp6,1,6,3,5,3,2,1,3,5,2,1,2,2,1,0,0,1,3,1,3,1,4,1,1,4,1,1,4,1,2,2,0,6,4,2,1,3,2,5,1,6,8,3,5,4,1,6,1,1,9,0,0,0,1,1,6,8,1,0,0,0,0,1,0,1,0,0,"If this house were outside of Vancouver it would be unlikely that it would be carbon free once rebuilt, but given the city of Vancouver is more stringent policies around GHG intensity I expect it could be carbon free. If these people downsize and sell a new owner would likely demolish the house the small when there is the potential to build more square footage on the same lot.",
29,sb3,2,3,6,1,4,1,1,2,1,nan,5,3,4,1,0,0,1,5,2,5,1,5,1,1,5,3,2,1,1,3,3,0,3,2,1,1,2,2,3,1,6,8,3,5,4,1,6,2,0,0,0,0,0,0,1,6,8,1,0,0,0,0,1,0,1,0,0,Even relatively new homes like this often end up getting demolished when their owners sell.,
29,wc2,3,2,1,3,1,2,2,3,2,3,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,7,2,1,1,4,3,7,1,4,8,4,7,4,1,6,3,1,0,0,0,9,1,1,4,8,1,0,0,1,0,0,0,1,0,0,Assuming the electricity grid continues to move towards zero carbon this home will already be there by 2050 given its electrical HVAC systems. It is unlikely to be redeveloped by 2050 and given the architecture and already efficient systems it would be difficult to bump it up the step code scale especially to the highest levels.,
28,vs1,4,1,6,1,5,1,2,4,1,nan,2,2,3,1,0,0,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,1,3,1,1,1,3,3,1,1,4,6,4,7,6,7,6,4,0,0,0,0,0,0,1,4,6,1,0,0,1,0,1,0,0,0,0,knowledge of Vancouver special construction; knowledge of effort & cost required to achieve a high performance retrofit,"the driving force is not likely the energy savings - need to make it fashionable to upgrade - i.e. lifestyle imagery to make it socially valuable to upgrade incorporating the technical/performance features.
 we need to recognize that upgrades can only be mandated at time that some more significant work is done - it's not possible to mandate work be done just for the sake of making energy upgrades - and then, the cost of retrofits can be daunting for homeowners who are generally more interested in the cosmetic and comfort issues than simply performance issues."
28,sb4,2,4,4,3,4,1,2,3,1,1,5,3,4,1,0,1,1,5,2,5,1,5,1,1,5,3,2,1,1,3,3,0,3,2,1,1,4,3,1,1,4,6,4,7,6,7,6,5,0,0,0,0,9,0,1,4,6,1,0,0,1,0,1,0,0,0,0,construction specs are at or even below minimum code requirements at time of construction,"this is a newer house, well maintained, so the cost of retrofits to high step code level would be daunting - it would require high cost and virtually a whole house make-over - not likely to happen with this couple, given condition of house. 
 Achieving a high step code level would more likely happen if the house were completely re-built."
28,wc3,3,3,2,2,1,3,3,3,4,1,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,3,0,7,3,1,1,1,3,1,1,6,8,4,7,6,7,6,6,1,0,0,0,0,0,1,6,8,1,0,0,0,0,1,0,1,0,0,new house already built to current standards - will not need upgrades for a long time,this type of house is not likely to get much work done to it for at least 25 years or so - not a candidate for much in the way renovations other than cosmetic interior decoration.
27,vs2,4,2,3,1,1,1,1,1,2,1,2,2,3,1,0,0,1,4,2,4,1,3,2,1,5,2,1,2,1,2,1,0,1,1,1,1,3,2,7,4,5,8,4,4,6,6,5,7,0,0,0,0,0,1,4,5,8,0,0,0,1,1,0,0,1,0,0,I believe the owners will grow weary of trying to retrofit this house with their limited budget to do so and will eventually sell it to someone who will rebuild on this lot.,
27,sb5,2,5,2,2,1,3,3,3,4,1,5,3,4,1,0,1,1,5,2,5,1,5,1,1,5,3,2,1,1,3,3,0,5,5,3,1,5,2,7,4,5,8,3,7,6,6,5,8,1,1,0,0,1,1,4,5,8,0,0,0,1,1,0,0,1,0,0,"In 2050, their children will be 36 and 38 years old, and likely not living at home. The owners will have sold the house, looking to downsize. A new buyer will likely rebuild on this city lot with a more energy efficient home.",
27,wc4,3,4,2,2,1,3,3,3,2,3,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,7,3,2,1,1,3,2,4,5,8,4,7,6,6,5,9,1,0,0,0,0,0,4,5,8,0,0,0,1,1,0,0,1,0,0,"It sounds like the owner couple is not interested in upgrading anything on their home for many years, so it seems unlikely that they'll get to a carbon free state in 31 years.",
24,vs5,4,5,3,3,1,2,3,3,4,1,2,2,3,1,0,1,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,0,6,5,3,1,2,3,3,4,5,8,4,7,4,7,6,10,1,1,0,0,0,0,4,5,8,0,0,0,1,1,0,0,1,0,0,Understanding of the Vancouver housing market,"Sounds like my own family/ life situation (though not in Vancouver) so I feel they would act in a manner similar to my own preferences.
 
 Ultimately, I think this family would be interested in upgrades, but also values the savings that a suite would bring. So I think they would invest there first, upgrade to efficient appliances when replacing them (given the payback is reasonable, maybe 10-15 years or less) and then use the additional funds from the rental income for any further energy improvements."
