archetype,vp-vo n,narr-age,narr-family type,narr-duration,narr-spending,narr-env,narr-income,narr-mortgage percent,narr-credit,prm-house sqft,prm-lot sqft,prm-house age,prm-step,prm-suite,prm-reno plan,prm-wall type,prm-wall age,prm-window type,prm-window age,prm-roof type,prm-roof age,prm-heat eff,prm-heat fuel,prm-heat age,prm-dhw eff,prm-dwh fuel,prm-dhw age,prm-cool fuel,prm-leakage,prm-maintenance,prm-asbestos,likres-step 2,likres-step 3,likres-step 4,likres-step 5,likres-higheff,likres-teardown,likres-carbon2050,expres-pol1,expres-pol2,expres-pol3,expres-conf,sort
4,3,3,1,1,2,1,2,2,1,2,2,3,1,0,0,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,0,5,5,3,1,3,3,5,1,2,8,3,31
4,3,3,1,1,2,1,2,2,1,2,2,3,1,0,0,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,0,1,1,1,1,2,2,7,2,3,9,3,55
4,5,3,3,1,2,3,3,4,1,2,2,3,1,0,1,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,0,6,5,3,1,2,3,3,4,5,8,4,10
4,5,3,3,1,2,3,3,4,1,2,2,3,1,0,1,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,0,6,6,6,6,5,1,5,2,3,5,3,37
4,5,3,3,1,2,3,3,4,1,2,2,3,1,0,1,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,0,5,4,4,3,4,2,5,1,7,8,3,58
4,5,3,3,1,2,3,3,4,1,2,2,3,1,0,1,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,0,4,1,1,1,4,2,4,1,8,9,3,61
1,1,4,1,4,1,3,2,1,1,1,2,2,1,0,0,1,3,1,5,1,5,1,1,5,1,1,5,1,2,3,0,2,1,1,1,1,2,7,1,6,9,2,14
1,1,4,1,4,1,3,2,1,1,1,2,2,1,0,0,1,3,1,5,1,5,1,1,5,1,1,5,1,2,3,0,1,1,1,1,2,2,7,2,3,9,3,56
1,1,4,1,4,1,3,2,1,1,1,2,2,1,0,0,1,3,1,5,1,5,1,1,5,1,1,5,1,2,3,0,2,1,1,1,1,2,4,4,7,8,3,62
4,4,3,1,1,2,3,3,2,1,2,2,3,1,0,0,1,4,2,4,1,3,2,1,5,2,1,5,1,2,3,0,5,1,1,1,5,2,3,6,9,9,4,22
4,4,3,1,1,2,3,3,1,1,2,2,3,1,0,0,1,4,2,4,1,3,2,1,5,2,1,5,1,2,3,0,5,4,3,2,5,3,1,3,4,9,4,34
