likres-step 2,likres-step 3,likres-step 4,likres-step 5,likres-higheff,likres-teardown,likres-carbon2050,expres-pol1,expres-pol2,expres-pol3,expres-conf,sort
1,1,0,0,0,3,1,1,2,8,3,31
0,0,0,0,0,2,1,2,3,9,3,55
1,1,0,0,0,3,0,4,5,8,4,10
1,1,1,1,1,1,1,2,3,5,3,37
1,9,9,0,9,2,1,1,7,8,3,58
9,0,0,0,9,2,9,1,8,9,3,61
0,0,0,0,0,2,1,1,6,9,2,14
0,0,0,0,0,2,1,2,3,9,3,56
0,0,0,0,0,2,9,4,7,8,3,62
1,0,0,0,1,2,0,6,9,9,4,22
1,9,0,0,1,3,0,3,4,9,4,34
0,0,0,0,0,2,0,1,6,8,3,2
1,1,0,0,1,2,1,9,9,9,4,35
1,9,0,0,0,3,0,4,6,8,3,47
0,0,0,0,9,3,0,1,4,6,4,5
1,1,1,1,1,1,1,2,3,4,3,38
1,1,9,0,9,1,1,1,3,8,2,50
1,1,0,0,1,2,1,4,5,8,3,8
1,0,0,0,0,3,0,1,6,8,4,6
1,0,0,0,0,3,1,1,5,6,4,42
0,0,0,0,0,3,0,1,8,9,3,12
1,1,0,0,1,3,1,3,7,8,4,36
1,1,0,0,0,3,0,3,4,8,2,51
0,0,0,0,1,3,1,1,2,3,4,57
0,0,0,0,0,2,1,4,5,8,4,7
1,9,0,0,1,2,1,3,6,8,3,28
1,0,0,0,0,2,9,4,5,6,4,52
1,9,0,0,0,2,1,1,6,8,3,1
1,1,0,0,0,2,0,1,2,8,2,49
1,1,0,0,9,2,1,3,8,9,3,16
1,0,0,0,1,2,1,1,4,8,4,19
9,0,0,0,0,3,1,1,7,8,3,59
1,1,0,0,1,2,1,1,7,9,3,32
1,9,0,0,1,3,1,5,6,8,4,44
9,0,0,0,9,3,1,1,7,9,2,13
1,9,0,0,1,2,9,2,7,8,3,64
0,0,0,0,0,3,0,1,5,8,3,11
0,0,0,0,0,2,0,1,5,8,4,40
0,0,0,0,0,2,0,4,6,8,3,46
1,0,0,0,0,3,0,5,6,9,4,53
1,9,0,0,1,3,1,3,6,8,3,29
1,1,9,9,1,2,1,5,7,8,3,66
1,0,0,0,0,3,0,4,5,8,4,9
1,1,1,1,9,1,1,1,5,6,4,27
1,1,0,0,1,3,1,1,7,8,4,21
1,0,0,0,9,3,1,1,4,8,4,3
1,9,0,0,0,3,1,1,6,8,3,30
1,1,1,0,1,3,1,1,6,8,4,45
1,9,0,0,0,1,1,1,4,7,3,33
1,1,9,0,1,3,9,4,6,8,3,48
0,0,0,0,9,3,1,3,7,8,2,15
9,9,9,9,9,2,1,2,3,4,3,39
1,0,0,0,1,3,1,4,6,8,3,20
0,0,0,0,0,2,9,4,5,6,3,54
1,1,1,1,1,1,1,2,3,5,4,26
0,0,0,0,0,3,0,1,5,8,4,41
1,9,0,0,9,1,1,1,7,8,3,60
1,9,0,0,1,3,1,4,7,8,3,63
0,0,0,0,0,3,0,1,4,6,4,4
1,1,9,0,9,2,0,2,6,7,4,25
1,1,0,0,1,2,1,1,6,8,4,43
0,0,0,0,0,3,9,2,6,8,3,65
