Field,Experience,Familiar Step,Familiar Market,Certainty
Government and public works,15 to 19,Very unfamiliar,Familiar,Medium Confidence
Government and public works,15 to 19,Very unfamiliar,Familiar,Medium Confidence
Government and public works,15 to 19,Very unfamiliar,Familiar,High Confidence
"Architecture, planning, and environmental design",25 or more,Very familiar,Familiar,High Confidence
"Architecture, planning, and environmental design",25 or more,Very familiar,Familiar,High Confidence
"Architecture, planning, and environmental design",25 or more,Very familiar,Familiar,High Confidence
Other,25 or more,Familiar,Slightly familiar,High Confidence
Other,25 or more,Familiar,Slightly familiar,Medium Confidence
Other,25 or more,Familiar,Slightly familiar,High Confidence
Engineering and computer science,15 to 19,Very familiar,Familiar,High Confidence
Engineering and computer science,15 to 19,Very familiar,Familiar,Medium Confidence
Engineering and computer science,15 to 19,Very familiar,Familiar,Medium Confidence
Government and public works,less than 5,Very familiar,Unfamiliar,Low Confidence
Government and public works,less than 5,Very familiar,Unfamiliar,Low Confidence
Government and public works,less than 5,Very familiar,Unfamiliar,Low Confidence
Environment,10 to 14,Very familiar,Slightly familiar,Medium Confidence
Government and public works,less than 5,Familiar,Slightly familiar,High Confidence
Government and public works,less than 5,Familiar,Slightly familiar,Medium Confidence
Government and public works,less than 5,Familiar,Slightly familiar,High Confidence
Engineering and computer science,15 to 19,Very familiar,Familiar,High Confidence
"Architecture, planning, and environmental design",10 to 14,Familiar,Slightly familiar,High Confidence
"Architecture, planning, and environmental design",10 to 14,Familiar,Slightly familiar,High Confidence
"Architecture, planning, and environmental design",10 to 14,Familiar,Slightly familiar,High Confidence
Education,10 to 14,Very familiar,Familiar,Medium Confidence
Education,10 to 14,Very familiar,Familiar,Medium Confidence
Education,10 to 14,Very familiar,Familiar,Medium Confidence
Engineering and computer science,10 to 14,Very familiar,Familiar,Medium Confidence
Engineering and computer science,10 to 14,Very familiar,Familiar,Medium Confidence
Engineering and computer science,10 to 14,Very familiar,Familiar,Medium Confidence
Industry Association,10 to 14,Very familiar,Familiar,High Confidence
Industry Association,10 to 14,Very familiar,Familiar,High Confidence
Industry Association,10 to 14,Very familiar,Familiar,High Confidence
Engineering and computer science,10 to 14,Very familiar,Familiar,Medium Confidence
Engineering and computer science,10 to 14,Very familiar,Familiar,Medium Confidence
Engineering and computer science,10 to 14,Very familiar,Familiar,Medium Confidence
Engineering and computer science,25 or more,Very familiar,Familiar,High Confidence
Engineering and computer science,25 or more,Very familiar,Familiar,High Confidence
Engineering and computer science,25 or more,Very familiar,Familiar,High Confidence
Government and public works,10 to 14,Very familiar,Neutral,High Confidence
Government and public works,10 to 14,Very familiar,Neutral,High Confidence
Government and public works,10 to 14,Very familiar,Neutral,High Confidence
Government and public works,25 or more,Familiar,Familiar,Medium Confidence
Government and public works,25 or more,Familiar,Familiar,Medium Confidence
Government and public works,25 or more,Familiar,Familiar,Medium Confidence
Government and public works,less than 5,Familiar,Slightly unfamiliar,Low Confidence
Government and public works,less than 5,Familiar,Slightly unfamiliar,Low Confidence
Government and public works,less than 5,Familiar,Slightly unfamiliar,Low Confidence
Engineering and computer science,10 to 14,Very familiar,Slightly familiar,High Confidence
Engineering and computer science,10 to 14,Very familiar,Slightly familiar,High Confidence
Engineering and computer science,10 to 14,Very familiar,Slightly familiar,Medium Confidence
Government and public works,25 or more,Very familiar,Very familiar,Medium Confidence
Government and public works,25 or more,Very familiar,Very familiar,Medium Confidence
Government and public works,25 or more,Very familiar,Very familiar,High Confidence
Government and public works,5 to 9,Very familiar,Slightly familiar,Medium Confidence
Government and public works,5 to 9,Very familiar,Slightly familiar,Medium Confidence
Government and public works,5 to 9,Very familiar,Slightly familiar,Medium Confidence
Government and public works,5 to 9,Very familiar,Familiar,Medium Confidence
Government and public works,5 to 9,Very familiar,Familiar,Medium Confidence
Government and public works,5 to 9,Very familiar,Familiar,Medium Confidence
Engineering and computer science,10 to 14,Slightly familiar,Slightly familiar,Medium Confidence
Engineering and computer science,10 to 14,Slightly familiar,Slightly familiar,Medium Confidence
Engineering and computer science,10 to 14,Slightly familiar,Slightly familiar,Medium Confidence
