,respondent,id,resp-influential_param,resp-additional_info,prm-house age,expqual-field,expqual-field_years,expqual-step_familiar,expqual-market_familiar,resp-confidence,resp-likert_step2,resp-likert_step3,resp-likert_step4,resp-likert_step5,resp-likert_higheff,resp-retrofit_teardown_neither,resp-likert_carbon2050
55,18,sb1,"By the time the furnace needs updated, it is likely that CoV will encourage/mandate heat pumps...",no response,1991,Education,10 to 14,7,6,3,5,4,1,1,5,neither,6
30,23,mp3,"not financially-inclined/able to invest in EE or GHG reductions; timing of equipment replacements does not line up, so unlikely to shift to a central heat pump system if looking to add cooling (particularly if before 2025, which seems likely); age of building, presence of asbestos, and more difficult/costly to retrofit thermal equipment setup",no response,1952,Government and public works, < 5,7,2,2,2,1,1,1,1,teardown,7
28,23,vs6,stated equipment and envelope replacement timelines; knowledge of City of Vancouver's zero-emission thermal equipment requirements by 2025; lack of active cooling and rising temperatures; possible addition of EUI load in adding a rental suite;,"Also considered ""Innovative financing mechanisms..."" policy instrument, but decided this was less likely to be as valued by this couple given the desire to fund upgrades through personal savings.",1975,Government and public works, < 5,7,2,2,4,3,1,1,4,neither,5
45,16,vs4,"The age of the house, the likely motivation level of the owners, and the effort required to bring a house of this age/condition to be Step 5-compliant.","IMO, a big part of today's situation is lack of consumer knowledge. Industry and government would be in a much better position to provide retrofit solutions if homeowners demanded high efficiency homes. Without 'bottom-up' demand push, implementation of policies and mandatory regulations will always be met with some resistance.",1975,Other,10 to 14,7,6,4,5,4,3,2,5,neither,1
64,5,sb6,"Achieving Step 3 or greater would require improved air tightness and most importantly, central ventilation through an HRV. Adding HRV ducting to an existing home seems unlikely to me. In addition, the home would require major updates to the building envelope thermal performance as well as air tightness. I don't believe these are likely to happen due to the cost","Again, it comes down to the fact that to achieve high performance, major renovations would be required. At some point it is easier and more cost effective to replace the home entirely, which seems more likely with the land prices in Vancouver, particularly if this home on a large lot is replaced with a duplex or other more dense housing.",1991,Engineering and computer science,10 to 14,7,5,4,5,1,1,1,2,neither,1
25,24,gwh1,Difficult to retrofit to high energy efficiency- would require full cladding update that may be difficult when maintaining character on such a home (I'm assuming that would be required),"It sounds like this building will likely be sold in the timeframe. The current owner would have zero interest in upgrading. The new owners might, but unless there is a mandated retrofit code, there is no guarantee. The discussion didn't mention heritage requirements, but there may be some given the age and character of the house, that would result in additional costs to upgrade.",1911,Engineering and computer science,15 to 19,7,6,3,2,1,1,1,1,neither,1
12,11,wc3,Regardless of great family income it is unlikely that significant home building envelope retrofit will be performed. The home is already very efficient and thge only improvment I envision in this home would be adding heat pump domestic water heater (instead of electric resistance heater). Potential energy savings and return of investment for bringing this home to Step 5 would not be atractive even for this family.,no response,2018,Engineering and computer science, > 24,7,6,4,5,1,1,1,3,neither,7
2,29,sb3,Even relatively new homes like this often end up getting demolished when their owners sell.,no response,1991,Government and public works,15 to 19,1,6,3,3,2,1,1,2,teardown,3
23,24,mp2,"Understanding of the Vancouver market (I would have said ""demolished and rebuilt"" if it were in Vancouver, as I'm assuming the owners will sell before 2035 and move to a condo, but in N Van there are fewer land assemblies so I'm assuming it will be bought by a young family who will reno the inside only).","I'm fairly certain this home will be sold before 2035 so that the retired couple can move into a smaller home and save on monthly maintenance, plus pay lower utilities, etc. So that's why I chose the benchmarking as a useful tool as I'm imagining it occurring during the buy/sell process. I also would hope that the new owners would have to follow a retrofit code for any upgrades they undertake.",1952,Engineering and computer science,15 to 19,7,6,3,2,1,1,1,1,neither,1
56,1,sb1,"If the couple downsizes after the kids move out in the next 10 years, the house will likely be rebuilt (since it's in Shaughnessy, the added cost of rebuilding would be relatively small compared to the price of the property). If regulations require high efficiency new builds, the house could achieve high levels on the Step Code.","Like most existing buildings, the cost of retrofitting the building to achieve Step 5 would probably be better spent rebuilding the house with passive features incorporated. You can't retrofit the shape of a house to optimize window placement to catch light and wind. If Part 9 Code requires ""passive ready"" design, it's more likely a house will be carbon neutral by 2050.",1991,Engineering and computer science,10 to 14,5,5,3,6,5,4,4,5,teardown,5
