survey number,all narratives,archetype,optimism_str,optimism_int,id,unique_id,expqual-field,expqual-field_notes,expqual-field_years,expqual-step_familiar,expqual-market_familiar,resp-likert_step2,resp-likert_step3,resp-likert_step4,resp-likert_step5,resp-likert_higheff,resp-retrofit_teardown_neither,resp-likert_carbon2050,resp-influential_param,resp-policy1,resp-policy2,resp-policy3,resp-confidence,resp-additional_info
29,"MP-vo, SB-sp, WC-p",mp,vo,6,mp6,29mp6,Government and public works,,15 to 19,Very unfamiliar,Familiar,Somewhat Likely,Neutral,Somewhat Unlikely,Very unlikely,Unlikely,More likely to be demolished and rebuilt,Likely,"If this house were outside of Vancouver it would be unlikely that it would be carbon free once rebuilt, but given the city of Vancouver is more stringent policies around GHG intensity I expect it could be carbon free. If these people downsize and sell a new owner would likely demolish the house the small when there is the potential to build more square footage on the same lot.","An energy disclosure mandate with a benchmarking, audit, and labeling protocol",Innovative financing mechanisms such as attaching loans to meter savings,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Medium Confidence,0
29,"MP-vo, SB-sp, WC-p",sb,sp,3,sb3,29sb3,Government and public works,0,15 to 19,Very unfamiliar,Familiar,Unlikely,Somewhat Unlikely,Very unlikely,Very unlikely,Somewhat Unlikely,More likely to be demolished and rebuilt,Unlikely,Even relatively new homes like this often end up getting demolished when their owners sell.,"An energy disclosure mandate with a benchmarking, audit, and labeling protocol",Innovative financing mechanisms such as attaching loans to meter savings,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Medium Confidence,0
29,"MP-vo, SB-sp, WC-p",wc,p,2,wc2,29wc2,Government and public works,0,15 to 19,Very unfamiliar,Familiar,Very Likely,Somewhat Unlikely,Very unlikely,Very unlikely,Neutral,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Very Likely,Assuming the electricity grid continues to move towards zero carbon this home will already be there by 2050 given its electrical HVAC systems. It is unlikely to be redeveloped by 2050 and given the architecture and already efficient systems it would be difficult to bump it up the step code scale especially to the highest levels.,"An energy disclosure mandate with a benchmarking, audit, and labeling protocol",An education campaign for owners and practitioners on potential savings and best practices,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",High Confidence,0
28,"VS-vp, SB-so, WC-sp",vs,vp,1,vs1,28vs1,"Architecture, planning, and environmental design",,25 or more,Very familiar,Familiar,Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Unlikely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Very Unlikely,knowledge of Vancouver special construction; knowledge of effort & cost required to achieve a high performance retrofit,"An energy disclosure mandate with a benchmarking, audit, and labeling protocol",An education campaign for owners and practitioners on potential savings and best practices,Innovative financing mechanisms such as attaching loans to meter savings.,High Confidence,"the driving force is not likely the energy savings - need to make it fashionable to upgrade - i.e. lifestyle imagery to make it socially valuable to upgrade incorporating the technical/performance features.
we need to recognize that upgrades can only be mandated at time that some more significant work is done - it's not possible to mandate work be done just for the sake of making energy upgrades - and then, the cost of retrofits can be daunting for homeowners who are generally more interested in the cosmetic and comfort issues than simply performance issues."
28,"VS-vp, SB-so, WC-sp",sb,so,4,sb4,28sb4,"Architecture, planning, and environmental design",0,25 or more,Very familiar,Familiar,Unlikely,Somewhat Unlikely,Very unlikely,Very unlikely,Neutral,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Very Unlikely,construction specs are at or even below minimum code requirements at time of construction,"An energy disclosure mandate with a benchmarking, audit, and labeling protocol",An education campaign for owners and practitioners on potential savings and best practices,Innovative financing mechanisms such as attaching loans to meter savings.,High Confidence,"this is a newer house, well maintained, so the cost of retrofits to high step code level would be daunting - it would require high cost and virtually a whole house make-over - not likely to happen with this couple, given condition of house. 
Achieving a high step code level would more likely happen if the house were completely re-built."
28,"VS-vp, SB-so, WC-sp",wc,sp,3,wc3,28wc3,"Architecture, planning, and environmental design",0,25 or more,Very familiar,Familiar,Very Likely,Unlikely,Very unlikely,Very unlikely,Very Unlikely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Very Unlikely,new house already built to current standards - will not need upgrades for a long time,"An energy disclosure mandate with a benchmarking, audit, and labeling protocol",Innovative financing mechanisms such as attaching loans to meter savings,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",High Confidence,this type of house is not likely to get much work done to it for at least 25 years or so - not a candidate for much in the way renovations other than cosmetic interior decoration.
27,"VS-p, SB-o, WC-so",vs,p,2,vs2,27vs2,Other,,25 or more,Familiar,Slightly familiar,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Unlikely,More likely to be demolished and rebuilt,Very Likely,I believe the owners will grow weary of trying to retrofit this house with their limited budget to do so and will eventually sell it to someone who will rebuild on this lot.,An education campaign for owners and practitioners on potential savings and best practices,Conventional financing mechanism such as grants or tax abatements,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",High Confidence,0
27,"VS-p, SB-o, WC-so",sb,o,5,sb5,27sb5,Other,0,25 or more,Familiar,Slightly familiar,Likely,Likely,Unlikely,Very unlikely,Likely,More likely to be demolished and rebuilt,Very Likely,"In 2050, their children will be 36 and 38 years old, and likely not living at home. The owners will have sold the house, looking to downsize. A new buyer will likely rebuild on this city lot with a more energy efficient home.",An education campaign for owners and practitioners on potential savings and best practices,Conventional financing mechanism such as grants or tax abatements,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Medium Confidence,0
27,"VS-p, SB-o, WC-so",wc,so,4,wc4,27wc4,Other,0,25 or more,Familiar,Slightly familiar,Very Likely,Unlikely,Somewhat Unlikely,Very unlikely,Very Unlikely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Somewhat Unlikely,"It sounds like the owner couple is not interested in upgrading anything on their home for many years, so it seems unlikely that they'll get to a carbon free state in 31 years.",An education campaign for owners and practitioners on potential savings and best practices,Conventional financing mechanism such as grants or tax abatements,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",High Confidence,0
24,"VS-o, MP-p, GWH-vp",vs,o,5,vs5,24vs5,Engineering and computer science,,15 to 19,Very familiar,Familiar,Somewhat Likely,Likely,Unlikely,Very Unlikely,Somewhat Unlikely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Unlikely,Understanding of the Vancouver housing market,An education campaign for owners and practitioners on potential savings and best practices,Conventional financing mechanism such as grants or tax abatements,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",High Confidence,"Sounds like my own family/ life situation (though not in Vancouver) so I feel they would act in a manner similar to my own preferences.

Ultimately, I think this family would be interested in upgrades, but also values the savings that a suite would bring. So I think they would invest there first, upgrade to efficient appliances when replacing them (given the payback is reasonable, maybe 10-15 years or less) and then use the additional funds from the rental income for any further energy improvements."
