unique_id,archetype,expqual-field,expqual-field_years,expqual-step_familiar,expqual-market_familiar,resp-likert_step2,resp-likert_step3,resp-likert_step4,resp-likert_step5,resp-likert_higheff,resp-retrofit_teardown_neither,resp-likert_carbon2050,resp-policy1,resp-policy2,resp-policy3,resp-confidence,binary-policyopt1,binary-policyopt2,binary-policyopt3,binary-policyopt4,binary-policyopt5,binary-policyopt6,binary-policyopt7,binary-policyopt8,binary-policyopt9,binary-policyopt10,binary-policyopt11,optimism_int,resp-additional_info,resp-influential_param
29mp6,1,7,4,1,6,6,4,2,1,3,2,5,1,6,8,3,1,0,0,0,0,1,0,1,0,0,0,6,no response,"If this house were outside of Vancouver it would be unlikely that it would be carbon free once rebuilt, but given the city of Vancouver is more stringent policies around GHG intensity I expect it could be carbon free. If these people downsize and sell a new owner would likely demolish the house the small when there is the potential to build more square footage on the same lot."
29sb3,2,7,4,1,6,3,2,1,1,2,2,3,1,6,8,3,1,0,0,0,0,1,0,1,0,0,0,3,no response,Even relatively new homes like this often end up getting demolished when their owners sell.
29wc2,3,7,4,1,6,7,2,1,1,4,3,7,1,4,8,4,1,0,0,1,0,0,0,1,0,0,0,2,no response,Assuming the electricity grid continues to move towards zero carbon this home will already be there by 2050 given its electrical HVAC systems. It is unlikely to be redeveloped by 2050 and given the architecture and already efficient systems it would be difficult to bump it up the step code scale especially to the highest levels.
28vs1,4,1,6,7,6,3,1,1,1,3,3,1,1,4,6,4,1,0,0,1,0,1,0,0,0,0,0,1,"the driving force is not likely the energy savings - need to make it fashionable to upgrade - i.e. lifestyle imagery to make it socially valuable to upgrade incorporating the technical/performance features.
we need to recognize that upgrades can only be mandated at time that some more significant work is done - it's not possible to mandate work be done just for the sake of making energy upgrades - and then, the cost of retrofits can be daunting for homeowners who are generally more interested in the cosmetic and comfort issues than simply performance issues.",knowledge of Vancouver special construction; knowledge of effort & cost required to achieve a high performance retrofit
28sb4,2,1,6,7,6,3,2,1,1,4,3,1,1,4,6,4,1,0,0,1,0,1,0,0,0,0,0,4,"this is a newer house, well maintained, so the cost of retrofits to high step code level would be daunting - it would require high cost and virtually a whole house make-over - not likely to happen with this couple, given condition of house. 
Achieving a high step code level would more likely happen if the house were completely re-built.",construction specs are at or even below minimum code requirements at time of construction
28wc3,3,1,6,7,6,7,3,1,1,1,3,1,1,6,8,4,1,0,0,0,0,1,0,1,0,0,0,3,this type of house is not likely to get much work done to it for at least 25 years or so - not a candidate for much in the way renovations other than cosmetic interior decoration.,new house already built to current standards - will not need upgrades for a long time
27vs2,4,10,6,6,5,1,1,1,1,3,2,7,4,5,8,4,0,0,0,1,1,0,0,1,0,0,0,2,no response,I believe the owners will grow weary of trying to retrofit this house with their limited budget to do so and will eventually sell it to someone who will rebuild on this lot.
27sb5,2,10,6,6,5,5,5,3,1,5,2,7,4,5,8,3,0,0,0,1,1,0,0,1,0,0,0,5,no response,"In 2050, their children will be 36 and 38 years old, and likely not living at home. The owners will have sold the house, looking to downsize. A new buyer will likely rebuild on this city lot with a more energy efficient home."
27wc4,3,10,6,6,5,7,3,2,1,1,3,2,4,5,8,4,0,0,0,1,1,0,0,1,0,0,0,4,no response,"It sounds like the owner couple is not interested in upgrading anything on their home for many years, so it seems unlikely that they'll get to a carbon free state in 31 years."
24vs5,4,5,4,7,6,6,5,3,1,2,3,3,4,5,8,4,0,0,0,1,1,0,0,1,0,0,0,5,"Sounds like my own family/ life situation (though not in Vancouver) so I feel they would act in a manner similar to my own preferences.

Ultimately, I think this family would be interested in upgrades, but also values the savings that a suite would bring. So I think they would invest there first, upgrade to efficient appliances when replacing them (given the payback is reasonable, maybe 10-15 years or less) and then use the additional funds from the rental income for any further energy improvements.",Understanding of the Vancouver housing market
24mp2,1,5,4,7,6,2,1,1,1,1,3,1,1,5,8,3,1,0,0,0,1,0,0,1,0,0,0,2,"I'm fairly certain this home will be sold before 2035 so that the retired couple can move into a smaller home and save on monthly maintenance, plus pay lower utilities, etc. So that's why I chose the benchmarking as a useful tool as I'm imagining it occurring during the buy/sell process. I also would hope that the new owners would have to follow a retrofit code for any upgrades they undertake.","Understanding of the Vancouver market (I would have said ""demolished and rebuilt"" if it were in Vancouver, as I'm assuming the owners will sell before 2035 and move to a condo, but in N Van there are fewer land assemblies so I'm assuming it will be bought by a young family who will reno the inside only)."
24gwh1,5,5,4,7,6,2,1,1,1,1,3,1,1,8,6,3,1,0,0,0,0,1,0,1,0,0,0,1,"It sounds like this building will likely be sold in the timeframe. The current owner would have zero interest in upgrading. The new owners might, but unless there is a mandated retrofit code, there is no guarantee. The discussion didn't mention heritage requirements, but there may be some given the age and character of the house, that would result in additional costs to upgrade.",Difficult to retrofit to high energy efficiency- would require full cladding update that may be difficult when maintaining character on such a home (I'm assuming that would be required)
23vs6,4,7,1,7,2,4,3,1,1,4,3,5,1,7,7,2,1,0,0,0,0,0,1,0,0,0,0,6,"Also considered ""Innovative financing mechanisms..."" policy instrument, but decided this was less likely to be as valued by this couple given the desire to fund upgrades through personal savings.",stated equipment and envelope replacement timelines; knowledge of City of Vancouver's zero-emission thermal equipment requirements by 2025; lack of active cooling and rising temperatures; possible addition of EUI load in adding a rental suite;
23mp3,1,7,1,7,2,2,1,1,1,1,2,7,1,6,7,2,1,0,0,0,0,1,1,0,0,0,0,3,no response,"not financially-inclined/able to invest in EE or GHG reductions; timing of equipment replacements does not line up, so unlikely to shift to a central heat pump system if looking to add cooling (particularly if before 2025, which seems likely); age of building, presence of asbestos, and more difficult/costly to retrofit thermal equipment setup"
23gwh2,5,7,1,7,2,2,1,1,1,4,3,6,3,7,8,2,0,0,1,0,0,0,1,1,0,0,0,2,no response,"lack of cooling; likelihood that home will be sold before 2035; desirable character of the home; potential to replace fireplaces with heat pumps, but potential for owner to not want a heat pump to avoid affecting look and feel of the home"
22mp4,1,7,1,6,5,5,3,3,3,6,2,7,1,4,8,4,1,0,0,1,0,0,0,1,0,0,0,4,"Story specific: the likely outcome for this house is to upgrade their space heating + DHW systems to electric-based equipment after 2025 when this will be a requirement. The contractor will ideally recommend air tightness and envelope improvements to improve comfort and lower bills. 

General information (not story specific) In the City of Vancouver, we have the mandate and regulation authority to set GHG emissions limits / prescriptive equipment use. Rather than energy efficiency (which Step Code supports, meaning fossil fuels are not diminished at nearly the same rate) we are focused on electrifying mechanical equipment and appliances. With supporting focus on improving the envelope to reduce heating / cooling loads.

So while Vancouver homes will likely not hit high levels of the Step Code, they will achieve significant GHG reductions. 

Near term priorities are 1) create support solutions for those with the highest needs (high energy bills + low income) and 2) public education! Get green-minded people asking for these upgrades.",City of Vancouver's mandate to both densify the City (in the works with our City-wide plan) and aggressively zero emissions-ify our housing stock
22gwh3,5,7,1,6,5,5,2,2,2,5,3,7,4,6,8,3,0,0,0,1,0,1,0,1,0,0,0,3,"I foresee a PACE - like property-based financing structure would work well here to facilitate an envelope upgrade paired with a central heating+cooling heat pump system. A 5 head ductless mini-split system could avoid the need for invasive ductwork. The financial benefit from switching from 100% baseboard to 300+% efficient heat pump could provide a quick payback.

A homeowner support tool (online and / or in person) would likely be useful for this couple.","Heritage character, large, unlikely to be demolished."
22wc1,3,7,1,6,5,5,5,1,1,6,3,7,1,7,8,4,1,0,0,0,0,0,1,1,0,0,0,1,This home nearly meets the zero emissions criteria (all electric for space heating + DHW). It is well on its way to be future-proofed for regulation. All that is left is the fireplaces and gas appliances.,"Home is already all-electric (for space heating + hot water), regulation will eventually require appliances to be electrified as well. But that is far away."
22mp4,1,6,3,7,5,5,6,3,1,4,2,6,3,8,6,3,0,0,1,0,0,1,0,1,0,0,0,4,no response,"Their ability to meet upper steps will depend on whether they opt to install a heat pump as their heating and cooling system when the furnace it out. However, if the whole are surrounding the house is being redeveloped, the likliehood is that the home would experience the same fate as others, where density is favoured and land values reflect that. (Though, I'm not super familiary with the Vancouver context, so it's just informed by the stories I've heard!)"
22gwh3,5,6,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,no response,0
22wc1,3,6,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,no response,0
25vs4,4,5,4,7,6,5,1,1,1,5,2,3,6,11,6,4,0,0,0,0,0,1,0,0,0,0,1,4,"Don't compare current buildings to a new code like step code that has yet to be proven. 
There are serious health and safety concerns with the Step code approach that are likely to have negative impacts to occupancy health and well being. The baseline for an existing building is the current energy use from the billing data. There is no benefit to comparing it to Step Code that i can see whatsoever. 

it's also impossible, how do you measure the TEDI of an existing building ?","The rate of homes that are demolished in the City on an Annual Basis, The most costly part of the home is the land. The occupancts are morel likely to demolish the building and rebuild this sort of home then to retrofit becuase the home is extremly ugly"
25mp1,1,5,4,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,no response,0
25wc6,3,5,4,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,no response,0
